基础知识|什么是数字经济？	数字经济是继农业经济、工业经济之后的主要经济形态，是以{{c1::数据资源}}为关键要素，以{{c2::现代信息网络}}为主要载体，以信息通信技术融合应用、全要素数字化转型为重要推动力，促进{{c3::公平与效率}}更加统一的新经济形态。	口诀：数网技，促公平。
基础知识|什么是数字产业化？	数字产业化，也被称为数字经济的“窄界定”或“数字经济核心产业”，是指为产业数字化发展提供{{c1::数字技术、产品、服务、基础设施和解决方案}}，以及完全依赖于{{c2::数字技术、数据要素}}的各类经济活动。	口诀：技术方案，数据依赖。
基础知识|什么是产业数字化？	产业数字化是指传统产业应用{{c1::数字技术}}所带来的产出增加和效率提升，是数字技术与实体经济的融合，涉及利用数字技术对产业链上下游的全要素进行{{c2::数字化升级、转型和再造}}。	口诀：技术融合，全链再造。
基础知识|数据要素指的是什么？	数据要素是指在经济和社会活动中作为{{c1::重要生产要素}}的数据。它是一种基础性资源，既可以作为生产的{{c2::投入品}}（与其他要素结合创造价值），也可以作为{{c3::消费品}}（数据产品或服务本身具有市场价值）。	口诀：生产要素，投入消费。
基础知识|什么是数字技术？	数字技术是一种{{c1::通用目的技术(GPT)}}，其核心是为之后持续的技术创新提供可能，并全面重构整个社会的经济体系与运行方式。它包括{{c2::大数据、人工智能、5G、物联网、云计算}}等技术。	口诀：通用技术，持续创新。
基础知识|什么是数字平台？	数字平台是促进多个不同群体实现高效{{c1::交易匹配}}的中介，也被称为{{c2::多边平台或双边平台}}。它通过连接不同用户群体并利用{{c3::交叉网络效应}}协同创造价值，是数字经济的主导商业组织形式。	口诀：匹配中介，网络创造。
基础知识|什么是规模经济效应（数字经济中）？	在数字经济的供给侧，规模经济效应指数字商品的生产具有{{c1::高昂的固定成本}}和{{c2::极低乃至为零的边际成本}}的特点。这使得企业能迅速扩大规模，并为提供免费服务奠定基础。	口诀：高固定，零边际。
基础知识|什么是网络效应？	在数字经济的需求侧，网络效应（或称网络外部性）是指一个产品的价值会随着{{c1::用户数量的增加}}而增加。它分为{{c2::单侧网络效应}}（同类用户增加带来的价值）和{{c3::交叉网络效应}}（一侧用户增加为另一侧用户带来的价值）。	口诀：人多价值高，单双交叉。
基础知识|什么是价值普惠性？	价值普惠性是数字经济的一个基本特征，指数字经济的发展成果能够被{{c1::更广泛的社会主体}}分享。主要通过{{c2::创造就业、缩小收入差距、促进公共服务均等化}}等渠道实现。	口诀：普惠共享，就业缩差均等化。
基础知识|数字经济学的研究对象是什么？	数字经济学是研究{{c1::数据要素}}的采集、利用，{{c2::数字技术}}发展所引起的经济数字化对经济的影响，{{c3::数字市场运行}}与{{c4::数字经济发展规律}}等内容，从而为企业家进行数字商业创新和政府制定政策提供指导的应用经济学学科。	口诀：研究数据、技术、市场、规律。
复习题1|总论：数字经济体系由哪几部分构成？	答：数字经济体系由“四梁”构成，具体包括{{c1::数字经济的基础设施体系}}、{{c2::数字经济的要素供给体系}}、{{c3::数字经济的产业体系}}和{{c4::数字经济的治理体系}}。	口诀：基要产治，四梁支撑。
复习题1|分论Ⅰ(基础设施)：请夹叙夹议地阐述数字经济基础设施体系。	“叙”：数字基础设施是数字经济发展的{{c1::重要基础}}，以{{c2::5G、工业互联网、物联网、数据中心}}等为代表。它包括提供连接的设施和以{{c3::算力设施}}为代表的计算设施。<br>“议”：其核心价值在于，通过大幅降低全社会范围内的{{c4::信息成本}}，为供给侧和需求侧的{{c5::效率提升}}创造了条件，并成为发展{{c6::新质生产力}}的重要基础。	口诀：新基建“连算”，降本提效生新质。
复习题1|分论Ⅱ(要素供给)：请夹叙夹议地阐述数字经济的要素供给体系。	“叙”：数字经济的要素供给体系主要包括{{c1::数据要素}}、{{c2::资本投入}}和{{c3::人力资本}}这三大核心要素，并要求建立配套的{{c4::激励性要素供给体制}}。<br>“议”：这个体系的要义在于，不仅要确保{{c5::“原材料”（数据、资本、人才）}}的充裕，更要通过{{c6::市场化配置机制}}实现要素的最优组合，从而最大化激发数字经济的增长潜能。	口诀：数资人三要素，市场配置是关键。
复习题1|分论Ⅲ(产业体系)：请夹叙夹议地阐述数字经济的产业体系。	“叙”：数字经济的产业体系主要包括三个层次：一是{{c1::数字核心技术产业群}}（如ICT、AI技术产业），二是{{c2::数字产业化产业群}}（如社交媒体、在线零售），三是{{c3::产业数字化产业群}}（如智慧农业、智能制造）。<br>“议”：这三个层次构成了“{{c4::技术引领-商业应用-实体融合}}”的递进关系。核心技术是{{c5::“发动机”}}，数字产业化是{{c6::“新业态”}}，而产业数字化则是最终实现经济{{c7::“高质量发展”}}的主战场。	口诀：技术生新业，新业融实体。
复习题1|分论Ⅳ(治理体系)：请夹叙夹议地阐述数字经济的治理体系。	“叙”：数字经济治理体系的目标是打造便利、安全、竞争、创新的环境，主要包括维护{{c1::网络与数据安全}}、保护{{c2::个人隐私}}、{{c3::反垄断}}与反不正当竞争、维护{{c4::金融安全}}、保护{{c5::数字知识产权}}等。<br>“议”：治理的本质是在“{{c6::发展}}”与“{{c7::规范}}”之间寻求平衡。它需要一个{{c8::多元协同共治}}的体制（政府、平台、行业、公众），灵活运用多种手段，最终目标是构建一个{{c9::信任、安全、普惠}}的数字经济社会。	口诀：五大治理点，多元共治保平衡。
复习题2|总论：数字经济发展有哪些基本特征？	答：数字经济发展具有五大基本特征：{{c1::数据是经济增长的关键要素}}，{{c2::数字技术进步是根本驱动力}}，供需两侧均有显著的{{c3::规模经济效应}}，{{c4::数字平台是主导商业组织形式}}，以及发展具有{{c5::价值普惠性}}。	口诀：数技规平惠，五特征。
复习题2|分论Ⅰ(数据要素)：请夹叙夹议地阐述“数据是经济增长的关键要素”这一特征。	“叙”：数据作为一种基础性资源和生产要素，既是{{c1::投入品}}（与其他要素结合创造价值），也是{{c2::消费品}}（数据产品本身可交易）。<br>“议”：数据的价值在于{{c3::“结合”与“创新”}}。单纯的数据会受规模收益递减规律的约束，只有与其他生产要素有效结合，并建立在{{c4::大数据深度挖掘}}基础上的{{c5::持续创新}}，才是经济可持续增长的动力源泉。	口诀：数据是要素，结合创新才长效。
复习题2|分论Ⅱ(技术驱动)：请夹叙夹议地阐述“数字技术进步是根本驱动力”这一特征。	“叙”：数字技术是一种{{c1::通用目的技术（GPT）}}，具有巨大的技术提升潜能和广泛应用潜能，其发展对经济增长的贡献是{{c2::非线性的波浪式增长}}。<br>“议”：这意味着数字经济的发展遵循“{{c3::先播种，后收获}}”的模式。初期其对生产率的贡献可能不显著，但当扩散渗透到一定程度后，会进入{{c4::加速提升}}阶段。因此，政府在初期需要有效发挥作用，促进{{c5::技术研发和应用扩散}}。	口诀：技术是GPT，先慢后快非线性。
复复习题2|分论Ⅲ(规模经济)：请夹叙夹议地阐述“供需两侧的规模经济效应”这一特征。	“叙”：供给侧的规模经济体现在数字产品{{c1::高固定成本}}和{{c2::零边际成本}}的特性。需求侧的规模经济即{{c3::网络效应}}，指产品价值随用户数增加而增加，分为{{c4::单侧}}和{{c5::交叉}}网络效应。<br>“议”：这两个效应是数字平台“{{c6::赢家通吃}}”现象的经济学根源。供给侧的零边际成本使其能{{c7::快速扩张}}，而需求侧的网络效应则能{{c8::锁定用户}}，共同构建了强大的市场壁垒。	口诀：供给零边际，需求网络效应，赢家通吃定格局。
复习题2|分论Ⅳ(数字平台)：请夹叙夹议地阐述“数字平台是主导商业组织形式”这一特征。	“叙”：数字平台是促进多个不同主体间实现高效{{c1::相互作用}}的中介，其基础经济功能是促进高效的{{c2::交易匹配}}。<br>“议”：平台的核心竞争力在于利用{{c3::交叉网络效应}}构建的{{c4::自强化机制}}。它不仅是{{c5::数字产业化}}（新业态）的主要力量，也正通过{{c6::产业平台}}的形式，重构传统产业的组织形式，提升整个产业链的运行效率。	口诀：平台做匹配，网络效应自强化。
复习题2|分论Ⅴ(价值普惠)：请夹叙夹议地阐述“数字经济发展具有价值普惠性”这一特征。	“叙”：数字经济通过多种渠道实现发展成果普惠共享：一是创造大量{{c1::就业岗位}}；二是缩小{{c2::收入差距}}，如赋能乡村振兴；三是促进{{c3::公共服务均等化}}，如数字治理。<br>“议”：价值普惠性是数字经济实现“{{c4::促进公平与效率更加统一}}”这一目标的具体体现。它不仅关乎经济效率，更关乎{{c5::社会福祉}}，是数字经济最终走向{{c6::共同富裕}}的内在要求和重要路径。	口诀：就业、缩差、均服务，普惠共享共同富裕。
复习题3|总论：中国数字经济发展取得了哪些成就？主要优势有哪些？未来的政策重点是什么？	答：成就上，中国数字经济在{{c1::规模、平台、基建、治理}}四方面成就显著。优势上，主要体现在{{c2::市场、投融资、监管}}三方面。未来政策重点是围绕“{{c3::2522”框架}}，解决{{c4::技术、人才、数据、融合、治理}}五大短板。	口诀：四成就三优势，二五二二补五短板。
复习题3|分论Ⅰ(成就)：请夹叙夹议地阐述中国数字经济发展的成就。	“叙”：中国数字经济发展成就显著，主要体现在：①数字经济{{c1::规模}}持续高速增长，占GDP比重超40%；②拥有具竞争力的{{c2::平台企业}}群体，数量和市值位居世界前列；③建成全球领先的{{c3::数字基础设施}}，如5G基站占全球60%以上；④数字经济{{c4::治理体系}}不断完善，出台了多部关键法律。<br>“议”：这些成就共同构筑了中国数字经济的{{c5::“规模效应”和“先发优势”}}。庞大的规模是{{c6::迭代创新的试验场}}，而领先的基建和平台则是未来竞争的{{c7::战略制高点}}。	口诀：规模平台基建治理，四大成就筑优势。
复习题3|分论Ⅱ(优势)：请夹叙夹议地阐述中国数字经济发展的主要优势。	“叙”：中国数字经济发展的主要优势有三：一是拥有庞大互联网用户群体的{{c1::巨大国内市场}}；二是建立了“集中力量办大事”与市场化结合的{{c2::投融资体制}}；三是实行了从“包容审慎”到“常态化监管”的{{c3::宽松灵活的政府监管政策}}。<br>“议”：这些优势的本质是“{{c4::超大规模市场}}”与“{{c5::有为政府}}”的有效结合。市场提供了{{c6::需求引力}}和数据养料，而政府则在关键时刻（如基建、监管）提供了{{c7::强大推力}}和方向指引。	口诀：市场大，投资好，监管活，优势三宝。
复习题3|分论Ⅲ(政策重点)：请夹叙夹议地阐述中国数字经济未来的政策重点。	“叙”：未来政策重点是落实《数字中国建设整体布局规划》的“{{c1::2522}}”框架，即夯实“{{c2::两大基础}}”（基建、数据），推进“{{c3::五位一体}}”融合，强化“{{c4::两大能力}}”（技术创新、安全），优化“{{c5::两个环境}}”（国内、国际）。<br>“议”：这一框架的实质是针对发展短板的{{c6::系统性回应}}。其核心导向是从过去的“{{c7::消费端、模式创新}}”为主，转向更加重视“{{c8::生产端、硬核技术、制度建设和实体融合}}”的更高质量发展阶段。	口诀：二五二二框架好，补齐短板向前跑。
复习题4|总论：数字经济学的内容体系应主要包括哪些方面？	答：本书构建的数字经济学内容体系采用微观与宏观相结合的模式，具体包括四篇：{{c1::数字经济基础}}、{{c2::数字经济微观}}、{{c3::数字经济宏观}}和{{c4::数字经济监管}}。	口诀：基础微宏观，最后加监管。
