基础知识|数字贸易的官方定义演变是怎样的？	“2019年，OECD、WTO和IMF的初步定义是“以数字方式订购或以数字方式交付的国际贸易”，这一定义被批评为过于强调支付手段。
2022年，这三大组织更新了定义：“以数字技术为内在驱动力，以信息通信网络为主要交付形式，以服务和数据为主要标的的跨境交易活动”，这一定义更侧重于贸易的内在驱动力和核心标的。”	第十二章 基础知识 定义演进
基础知识|数字贸易和电子商务是什么关系？	“数字贸易不是电子商务，也不等同于跨境电子商务。数字贸易的范畴更广。
跨境电子商务主要属于数字贸易三大交付方式中的“数字订购贸易”，但数字贸易还包括纯数字化的“数字交付贸易”（如云服务、在线流媒体）和“数字中介平台交易”。”	第十二章 基础知识 概念辨析
基础知识|数字贸易的三种主要交付方式是什么？	“1. **数字订购贸易**：通过网络下单，可线下交付实体商品，近似于国际电子商务。
2. **数字交付贸易**：通过网络远程交付纯数字产品或服务，如软件、流媒体。
3. **数字中介平台交易**：平台作为第三方，撮合买卖双方进行交易，平台本身不拥有商品。”	第十二章 基础知识 交付方式
基础知识|什么是数字贸易时代的“新型比较优势”？	“传统比较优势（如劳动力、地理位置）的作用下降，新型比较优势转变为一个国家或地区的“数字贸易生态”。
这个生态是一个综合体，包括：数字基础设施的完备程度、与数字技术相关的人力资本、数据要素的规模与质量、以及与数字监管相关的制度和法规等。”	第十二章 基础知识 核心理论
基础知识|什么是“新里昂惕夫悖论”？	“传统的里昂惕夫悖论指资本密集型的美国却出口劳动密集型产品。
“新”悖论则是指，在数字时代，由于人工智能和自动化技术（资本密集）的应用，发达国家可能在传统的劳动密集型产品（如纺织、组装）生产上重新获得比较优势，从而对发展中国家依赖劳动力优势的产业造成巨大冲击。”	第十二章 基础知识 核心理论
复习题1|总论：数字贸易的特征包括哪些？	“与传统贸易相比，数字贸易具有五大新特征：
1.  **新型贸易基础**：{{c1::数字技术与数据}}是核心驱动力。
2.  **新型比较优势**：竞争从单一要素转向{{c2::数字贸易生态}}的综合竞争。
3.  **新型贸易中介**：{{c3::数字平台}}取代传统中间商，成为资源配置的核心。
4.  **贸易结构新变化**：{{c4::服务贸易和数字产品贸易}}占比显著上升。
5.  **贸易主体新变化**：参与者从大型跨国公司扩展到{{c5::中小企业和个人}}，呈现多元化。
口诀：基优中构主，五新易数贸。”	第十二章 论述 Cloze 复习题1 口诀 总论
复习题1|分论Ⅰ(贸易基础)：请夹叙夹议地阐述数字贸易的“新型贸易基础”。	“**叙**：数字贸易的基础是“数字化”，体现在两方面：一是{{c1::贸易方式数字化}}，指利用电子商务、智慧物流等技术升级交易过程；二是{{c2::贸易对象数字化}}，指交易物本身就是数据、数字软件、数字内容等无形商品。
**议**：这一新基础的革命性在于，它使得{{c3::“比特”的流动}}在很大程度上取代了{{c4::“原子”的运输}}，从而根本性地改变了贸易的成本结构和时空限制。
口诀：方物数字化，比特替原子。”	第十二章 论述 Cloze 复习题1 口诀 贸易基础
复习题1|分论Ⅱ(比较优势)：请夹叙夹议地阐述数字贸易的“新型比较优势”。	“**叙**：在数字贸易中，传统比较优势如{{c1::劳动投入、地理距离}}的作用下降，而与数字技术相关的{{c2::知识、技术、资本}}及无形资产的重要性提升。国家的竞争力不再取决于单一要素，而是取决于{{c3::数字贸易生态}}。
