基础知识|概念：数据	“叙”：数字经济中的数据是任何反映{{c1::事实、行为或信息}}，并且能够以{{c2::数字化的方式}}呈现或被加工处理的{{c3::符号介质}}。	口诀：事实信息数字化，符号介质就是它。
基础知识|概念：大数据	“叙”：大数据通常被理解为使用大规模计算能力和技术先进的软件进行收集、处理和分析的以{{c1::大量(Volume)}}、{{c2::快速(Velocity)}}、{{c3::多样(Variety)}}和{{c4::真实性(Veracity)}}为特征的数据，简称“4V”特征。	口诀：四大V（大快多真），数据才真。
基础知识|概念：数据价值链	“叙”：数据的价值实现过程形成数据价值链，分为三个阶段：第一阶段是{{c1::数据资源}}阶段（原始数据，有潜在价值）；第二阶段是{{c2::数据资产形成}}阶段（采集处理，形成数据库）；第三阶段是{{c3::数据价值创造}}阶段（直接出售或驱动创新，实现货币化）。	口诀：资源变资产，创造价值终实现。
基础知识|制度：“数据二十条”	“叙”：“数据二十条”为释放数据价值，构建了基础制度的四个模块，即{{c1::数据产权制度}}、数据要素{{c2::流通和交易制度}}、数据要素{{c3::收益分配制度}}、数据要素{{c4::治理制度}}。	口诀：产权流交，收益治理，四模块立。
复习题1｜总论：数据要素具有哪些独特的经济属性？	答：数据要素具有四个独特的经济属性，分别是：{{c1::非竞争性与相对排他性}}；{{c2::广泛存在性、零边际成本与较强替代性}}；{{c3::价值的时间性}}；以及{{c4::开发利用的显著正外部性}}。	口诀：非广时外，属性自来。
复习题1｜分论Ⅰ(非竞争性与相对排他性)：请夹叙夹议地阐述数据的非竞争性与相对排他性。	“叙”：数据的最独特之处在于其突出的{{c1::非竞争性}}，即同一数据可被多主体同时使用而不会降低其价值，这内在地决定了数据可以被{{c2::重复再用}}。同时，数据也具有{{c3::相对排他性}}；原始数据通常不排他，但涉及个人隐私或企业处理后的商业数据则因{{c4::人为因素}}而具有一定排他性。“议”：这种二重性是数据治理的核心矛盾。{{c5::非竞争性}}要求开放共享以实现价值最大化，而{{c6::相对排他性}}则要求差别化的治理政策来保护隐私和商业利益。	口诀：非竞共享，相对设防。
复习题1｜分论Ⅱ(广泛存在、零边际成本、强替代性)：请夹叙夹议地阐述数据的广泛存在性、零边际成本和较强替代性。	“叙”：数据是人类活动的{{c1::副产品}}，广泛存在且可低成本获取。其再利用的{{c2::边际成本近乎为零}}。同时，不同渠道或类型的数据可提供相同信息，表现出较强的{{c3::替代性}}。“议”：这些属性共同决定了数据要素的供给侧优势。{{c4::广泛存在}}和{{c5::低成本}}打破了传统要素的稀缺性限制，而{{c6::替代性}}则意味着数据市场的竞争是多维度的，难以形成单一来源的垄断。	口诀：副产边际零，替代性强供给丰。
复习题1｜分论Ⅲ(价值的时间性)：请夹叙夹议地阐述数据价值的时间性。	“叙”：数据具有生命周期，其价值会随着时间变化而{{c1::迅速贬值}}。因此，企业必须获取大量的{{c2::即时数据}}并快速高效地分析利用，才能创造价值。“议”：这强调了数据处理的{{c3::“速度”维度（Velocity）}}至关重要。它不仅催生了对实时计算、流处理等技术的需求，也意味着在数据驱动的竞争中，{{c4::决策速度}}本身就是一种核心竞争力。	口诀：数据贵在鲜，决策求快才能赢。
复习题1｜分论Ⅳ(显著的正外部性)：请夹叙夹议地阐述数据开发利用的显著正外部性。	“叙”：单个消费者数据价值有限，只有{{c1::汇集成数据集}}才有价值。一个企业对数据集的分析会产生新知识，对其他企业产生{{c2::正外部性}}。但过度采集个人数据则可能侵犯隐私，产生{{c3::负外部性}}。“议”：正外部性是鼓励{{c4::数据开放共享}}的理论基础，但其导致的“搭便车”问题又会抑制共享动力。因此，制度设计的关键在于如何{{c5::内部化正外部性}}（如数据交易市场），同时{{c6::规制负外部性}}（如隐私保护立法）。	口诀：正外溢出需共享，负外侵犯要严防。
复习题2｜总论：数据要素促进经济高质量发展的路径有哪些？	答：数据要素主要通过五条路径促进经济高质量发展：促进企业更好{{c1::决策}}、提升市场机制{{c2::有效性}}、与其他要素结合产生效率{{c3::整合效应}}、驱动高效率{{c4::创新}}，以及优化{{c5::公共服务供给与社会治理}}。	口诀：决策有效，整合创新，公共优。
复习题2｜分论Ⅰ(促进决策)：请夹叙夹议地阐述数据如何促进企业更好地决策。	“叙”：经济活动充满{{c1::不确定性}}，这是规模收益递减的重要原因。数据作为过去经济活动的信息，其开发利用可以帮助企业更好预测未来，{{c2::降低不确定性}}，提高决策精确性，减少决策失误造成的损失。“议”：数据要素的这一作用，本质上是将经济学中被长期忽视的{{c3::“信息”}}变量内生化到了生产函数中。它通过{{c4::降低决策成本}}，直接挑战了“随着规模扩大，管理和预测难度必然上升”的传统假设。	口诀：数据降不定，决策成本自然轻。
