基础知识|数字技术定义	数字技术是指利用现代信息通信技术、大数据技术、人工智能技术等前沿技术，对人类经济社会活动中产生的大量数据进行{{c1::采集}}、{{c2::存储}}、{{c3::分析}}和{{c4::传输}}，并为各领域的提质增效和创新发展提供重要技术支撑的电子工具、设备、系统等相关技术的{{c5::总称}}。	口诀：采存分传，支撑总称。
基础知识|数字技术的五大经济特征	数字技术的五大经济特征包括：{{c1::软件化}}、{{c2::迭代升级性}}、{{c3::通用性}}、{{c4::创新驱动性}}和{{c5::影响广泛性}}。	口诀：软迭通创广。
基础知识|数字技术发展的三大阶段	数字技术的发展主要经历了三个阶段：{{c1::计算机阶段}}（核心是数字化）、{{c2::信息互联阶段}}（核心是网络化）和{{c3::新一代信息技术阶段}}（核心是智能化）。	口诀：计联网新，数网智。
基础知识|云计算的三种服务模式	云计算的三种主要服务模式是：{{c1::IaaS（基础设施即服务）}}、{{c2::PaaS（平台即服务）}}和{{c3::SaaS（软件即服务）}}。	口诀：基平软，I P S。
基础知识|大数据技术的四大环节	大数据技术处理流程的四大环节包括：{{c1::大数据采集技术}}、{{c2::大数据预处理技术}}、{{c3::大数据存储技术}}和{{c4::大数据分析技术}}。	口诀：采预存分。
基础知识|区块链的“不可能三角”	区块链的“不可能三角”是指在{{c1::去中心化}}、{{c2::安全}}和{{c3::可扩展性/效率}}三个方面中，一个区块链系统只能同时实现其中两个，而必须牺牲另一个。	口诀：去安效，三选二。
基础知识|人工智能发展的三大核心要素	人工智能（AI）技术发展的三大核心要素是：{{c1::数据}}（燃料）、{{c2::算法}}（引擎）和{{c3::算力}}（基础设施）。	口诀：数算算，AI三驾马车。
基础知识|通用目的技术（GPT）的三大基本特性	通用目的技术（GPT）的三个基本特性是：{{c1::普遍适用性}}、{{c2::内在技术提升潜能}}和{{c3::创新互补性}}。	口诀：普内创，GPT三特性。
复习题1|总论：简述数字技术的概念和经济特征。	数字技术是一个{{c1::技术总称}}，核心是对数据进行处理以支撑提质增效和创新。其五大经济特征是：{{c2::软件化}}、{{c3::迭代升级性}}、{{c4::通用性}}、{{c5::创新驱动性}}和{{c6::影响广泛性}}。	口诀：总称五特征，软迭通创广。
复习题1|分论Ⅰ(概念)：请夹叙夹议地阐述数字技术的概念。	“叙”：数字技术是指利用现代信息通信、大数据、AI等技术，对数据进行{{c1::采集、存储、分析和传输}}，为各领域{{c2::提质增效}}和{{c3::创新发展}}提供技术支撑的电子工具、设备、系统等相关技术的{{c4::总称}}。<br>“议”：这个定义强调了数字技术的{{c5::工具属性}}（为了应用）和{{c6::集合属性}}（是多种技术的总称），其本质是“{{c7::技术赋能数据，数据驱动价值}}”。	口诀：采存分传搞创新，工具集合赋能数据。
复习题1|分论Ⅱ(特征-软件化)：请夹叙夹议地阐述数字技术的“软件化”特征。	“叙”：以往的技术更多地体现为{{c1::实物产品}}，而数字技术则更多地体现为{{c2::软件或代码}}。这表明其具有显著的{{c3::规模经济}}和{{c4::范围经济}}效应，以及{{c5::高固定成本}}和{{c6::低边际成本}}等经济属性。<br>“议”：这个特征是理解数字平台{{c7::“赢家通吃”}}现象的关键。一旦开发完成，复制和分发成本几乎为零，使得领先者能以极低成本快速占领市场，形成{{c8::自然垄断}}。	口诀：软件代码成本低，规模范围赢家吃。
复习题1|分论Ⅲ(特征-迭代升级性)：请夹叙夹议地阐述数字技术的“迭代升级性”特征。	“叙”：数字技术体现出{{c1::累积性创新}}的特点，即从出现后一直不断地进行{{c2::迭代升级}}。典型的例子是移动通信技术从{{c3::1G到5G}}的演进和互联网从{{c4::Web 1.0到Web 3.0}}的升级。<br>“议”：这意味着数字产品是一种“{{c5::永远的测试版}}”（Perpetual Beta）。它颠覆了传统产品的开发模式，使得企业能够通过{{c6::持续更新}}来快速响应市场变化和修复缺陷，保持竞争力。	口诀：累积创新永测试，迭代升级跟市场。
复习题1|分论Ⅳ(特征-通用性)：请夹叙夹议地阐述数字技术的“通用性”特征。	“叙”：数字技术是一种{{c1::通用目的技术}}（GPT），能够被广泛地应用于{{c2::国民经济各个领域}}，不仅催生新兴产业，也推动{{c3::传统产业的数字化转型}}。<br>“议”：这决定了数字技术的影响是{{c4::渗透性}}而非局限性的。它像{{c5::电力}}一样，成为整个经济社会的{{c6::底层基础设施}}，其价值更多体现在赋能其他产业上，而非其自身。	口诀：通用技术像电力，渗透赋能各领域。
复习题1|分论Ⅴ(特征-创新驱动性)：请夹叙夹议地阐述数字技术的“创新驱动性”特征。	“叙”：数字技术本身的创新频率{{c1::非常高}}，创新周期{{c2::比较短}}。它作为{{c3::基础性技术}}，为后续的创新提供了{{c4::技术底座}}，从而推动了后续的创新。<br>“议”：这种特性导致了科技行业{{c5::“创造性破坏”}}的常态化。领先企业可能因为一次技术浪潮的误判而迅速衰落，这要求企业必须保持{{c6::高度的创新敏感性}}和{{c7::持续的研发投入}}。	口诀：创新高频周期短，技术底座怕落单。
复习题1|分论Ⅵ(特征-影响广泛性)：请夹叙夹议地阐述数字技术的“影响广泛性”特征。	“叙”：数字技术的创新发展产生了比以往任何技术都{{c1::更广泛和深刻}}的经济社会影响，极大地改变了生产、消费、生活和社会运行。但同时也引发了{{c2::个人隐私保护、数据安全、社会伦理}}等多方面的风险。<br>“议”：这揭示了数字技术的{{c3::双刃剑}}属性。它在提升效率的同时，也带来了新的{{c4::治理难题}}。因此，技术的发展必须与{{c5::法律、伦理和社会规范}}的建设同步进行，这正是“{{c6::数字技术治理}}”成为重要议题的原因。	口诀：影响广泛双刃剑，治理规范需同步。
复习题2|总论：简述新兴数字技术的主要类型。	新兴数字技术构成一个智能技术群，主要包括：{{c1::网络通信技术}}（如5G）、{{c2::云计算技术}}、{{c3::大数据技术}}、{{c4::物联网技术}}、{{c5::区块链技术}}和{{c6::人工智能技术}}。	口诀：网云大物区人，新兴技术群。
复习题2|分论Ⅰ(网云大)：请夹叙夹议地阐述网络通信、云计算和大数据技术。	“叙”：{{c1::网络通信技术}}（如5G）是连接基础；{{c2::云计算技术}}（IaaS, PaaS, SaaS）提供按需分配的计算和存储资源；{{c3::大数据技术}}（采集、预处理、存储、分析）负责从海量数据中挖掘价值。<br>“议”：这三者构成了“{{c4::连接-计算-分析}}”的基础设施层。网络是“{{c5::路}}”，云是“{{c6::车和仓库}}”，大数据是“{{c7::炼油厂}}”，它们协同作用，为上层应用提供动力。	口诀：网云大连计分，路车厂炼油。
复习题2|分论Ⅱ(物区人)：请夹叙夹议地阐述物联网、区块链和人工智能技术。	“叙”：{{c1::物联网（IoT）}}技术实现物理世界与数字世界的连接；{{c2::区块链技术}}以去中心化方式解决信任问题；{{c3::人工智能（AI）}}技术（核心三要素：数据、算法、算力）模拟和扩展人的智能。<br>“议”：这三者构成了“{{c4::感知-信任-决策}}”的应用赋能层。物联网是“{{c5::五官}}”，区块链是“{{c6::信用体系}}”，人工智能是“{{c7::大脑}}”，它们共同将数字技术的能力从处理信息提升到改造物理世界。	口诀：物区人感信决，五官信用大脑。
复习题3|总论：阐述通用目的技术(GPT)的特征及其对经济增长的影响。	通用目的技术（GPT）具有{{c1::普遍适用性}}、{{c2::内在技术提升潜能}}和{{c3::创新互补性}}三大特征。它通过引发大量后续和互补性创新，全面提升{{c4::全要素生产率}}，但其影响存在滞后性，呈现出{{c5::J曲线效应}}（先播种后收获），这解释了著名的“{{c6::索洛悖论}}”。	口诀：三特征提效率，J曲线解悖论。
复习题3|分论Ⅰ(GPT特征)：请夹叙夹议地阐述通用目的技术的特征。	“叙”：GPT的三大特征是：1.{{c1::普遍适用性}}（能被各行业广泛应用）；2.{{c2::内在技术提升潜能}}（自身会不断优化升级）；3.{{c3::创新互补性}}（能引发下游部门大量的互补性创新）。<br>“议”：这三个特征决定了GPT是“{{c4::创新的平台}}”而非孤立的发明。它的价值不在于自身，而在于{{c5::赋能整个经济体}}产生连锁创新反应，如同“{{c6::技术界的干细胞}}”，能分化出各种具体应用。	口诀：普内创三特征，平台赋能干细胞。
复习题3|分论Ⅱ(GPT对增长的影响)：请夹叙夹议地阐述GPT对经济增长的影响。	“叙”：GPT对生产率的影响存在滞后性，呈现{{c1::J曲线}}轨迹。初期，由于企业和社会需要进行系统性重构（如建新基建、调整组织），投入巨大，生产率增长缓慢甚至下降（{{c2::“播种”阶段}}）。当重构完成后，生产率才会大幅上升（{{c3::“收获”阶段}}）。<br>“议”：这种滞后性解释了“{{c4::索洛悖论}}”（计算机无处不在，但生产率统计中看不到）。它给政策制定者的启示是，对于革命性技术，应保持{{c5::战略耐心}}，并出台政策{{c6::加速系统性重构}}过程，以缩短“播种期”，更快进入“收获期”。	口诀：J曲线有播收，耐心加速渡难关。
复习题4|总论：数字技术促进经济增长的路径有哪些？	数字技术主要通过四条路径促进经济增长：{{c1::提高供给与需求的匹配度}}、{{c2::提升全要素生产率（TFP）}}、{{c3::驱动整体创新}}和{{c4::推动产业结构升级}}。	口诀：匹配、效率、创新、升级，增长四路径。
复习题4|分论Ⅰ(匹配与效率)：请夹叙夹议地阐述“提高供需匹配”和“提升全要素生产率”两条路径。	“叙”：数字技术通过{{c1::降低市场交易成本}}（如搜寻、复制、运输成本）和利用数据分析精准洞察需求，从而{{c2::提高供需匹配度}}。同时，它通过优化企业决策、{{c3::提升生产要素配置效率}}和市场资源配置效率，最终{{c4::提升全要素生产率}}。<br>“议”：这两条路径体现了数字技术作为“{{c5::市场润滑剂}}”和“{{c6::生产优化器}}”的双重角色。前者让交易更顺畅，做大了{{c7::“蛋糕”的尺寸}}；后者让生产更高效，决定了{{c8::“切蛋糕”的效率}}。	口诀：匹配润滑做蛋糕，效率优化切蛋糕。
复习题4|分论Ⅱ(创新与升级)：请夹叙夹议地阐述“驱动整体创新”和“推动产业结构升级”两条路径。	“叙”：数字技术作为“{{c1::发明方法的发明}}”，降低了研发成本和风险，驱动整体创新。它通过{{c2::催生新兴数字产业}}（产业化）和{{c3::赋能传统产业转型}}（数字化），共同推动产业结构向中高附加值环节攀升，实现{{c4::产业结构升级}}。<br>“议”：这两条路径揭示了数字技术是“{{c5::增量革命}}”（创造新产业）和“{{c6::存量改革}}”（改造旧产业）的统一。它不仅在{{c7::“无人区”}}开疆拓土，也在{{c8::“传统领域”}}精耕细作，最终实现经济整体的跃迁。	口诀：创新增量无人区，升级存量精耕作。
