基础知识|戴蒙德悖论的核心结论是什么？	在消费者存在搜寻成本的情况下，市场均衡价格将是{{c1::垄断定价}}，而非竞争定价。因为单个企业缺乏降价动力，且消费者预知价格普遍高昂后会{{c2::放弃搜寻}}。	口诀：搜寻要花钱，商家全垄断，买家懒得看。	第五章 基础知识 戴蒙德悖论
基础知识|消费者最优搜寻策略的核心是什么？	核心是在搜寻的{{c1::预期收益}}与{{c2::预期成本}}之间进行权衡。当遇到一个商品的效用高于“{{c3::保留值}}”时就停止搜寻，否则继续。保留值是使搜寻收益与成本相等的临界效用值。	口诀：收益成本做权衡，保留值上停一停。	第五章 基础知识 最优策略
基础知识|数字经济如何影响搜寻成本和市场竞争？	数字经济通过电商平台、搜索引擎等技术{{c1::大幅降低了搜寻成本}}。这加剧了同质商品的价格竞争，使价格趋向于“{{c2::一价定律}}”，并催生了满足个性化需求的“{{c3::长尾效应}}”。	口诀：网购搜得快，价格趋同卖，长尾跟着来。	第五章 基础知识 数字经济
基础知识|什么是转换成本？它对企业有何意义？	转换成本是消费者从一个供应商转向另一个时需支付的{{c1::一次性成本}}（如交易、学习、兼容成本等）。它能为原有企业创造{{c2::市场势力}}，使其能在一定程度上提价而不流失客户，实现对消费者的“{{c3::锁定}}”。	口诀：换家成本高，老店锁得牢，提价跑不了。	第五章 基础知识 转换成本
复习题1|总论：概述搜寻成本对消费者最优搜寻策略产生的影响。	搜寻成本是消费者制定最优搜寻策略的核心考量，它直接影响消费者的“{{c1::保留值}}”和“{{c2::搜寻次数}}”。基本逻辑是：搜寻成本越高，消费者越倾向于{{c3::降低期望、减少搜寻}}；反之，则倾向于{{c4::提高期望、增加搜寻}}。	口诀：成本定策略，高则少搜，低则多觅。	第五章 复习题1 Cloze 总论
复习题1|分论Ⅰ(成本与保留值)：请夹叙夹议地阐述搜寻成本如何影响保留值。	“叙”：消费者的搜寻决策遵循“成本-收益”原则，当搜寻的{{c1::预期收益}}大于{{c2::搜寻成本}}时，消费者会继续搜寻。而“{{c3::保留值}}”正是使这两者相等的临界效用点。因此，当搜寻成本{{c4::上升}}时，为了维持等式平衡，预期的搜寻收益必须也更高，这意味着消费者需要一个{{c5::更低}}的当前效用才会去搜寻，即保留值会{{c6::降低}}。
“议”：这意味着，当找下一个选项的{{c7::代价变高}}时，理性的消费者会主动{{c8::降低自己的“底线”}}（保留值），变得不那么“挑剔”。这解释了为何在偏远地区（搜寻成本高）购物时，人们对商品质量的容忍度更高。	口诀：成本升，收益降，保留底线往低放。	第五章 复习题1 Cloze 保留值
复习题1|分论Ⅱ(成本与搜寻次数)：请夹叙夹议地阐述搜寻成本如何影响搜寻次数。	“叙”：搜寻成本通过影响保留值来间接决定搜寻次数。当搜寻成本高时，保留值会{{c1::降低}}。一个较低的保留值意味着消费者更容易接受当前遇到的商品（即商品效用大于保留值的{{c2::概率p变大}}）。根据搜寻理论，期望的搜寻次数是{{c3::1/p}}。
“议”：因此，搜寻成本越高，p值越大，期望的搜寻次数就{{c4::越少}}。这符合直觉：如果每次“货比三家”都要跑断腿（成本高），大多数人逛一两家店就{{c5::“认了”}}（搜寻次数少）；而在网上点点鼠标（成本低），人们则愿意{{c6::浏览数十个页面}}（搜寻次数多）。	口诀：成本高，标准低，接受快，搜得稀。	第五章 复习题1 Cloze 搜寻次数
复习题2|总论：请解释长尾效应并分析其产生的原因。	长尾效应是指，在数字经济背景下，过去因销量小而无法进入实体货架的{{c1::利基商品}}（长尾），其合计市场份额可以{{c2::超越}}少数{{c3::主流商品}}（头部）的现象。其产生的核心原因是信息技术发展，尤其是电子商务和搜索引擎，极大地{{c4::降低了消费者的搜寻成本}}和{{c5::企业的展示/仓储成本}}。	口诀：长尾反超头，只因搜寻易，网店存货齐。	第五章 复习题2 Cloze 总论
复习题2|分论Ⅰ(需求侧原因)：请夹叙夹议地阐述长尾效应产生的需求侧原因。	“叙”：从需求侧看，长尾效应源于消费者{{c1::搜寻成本}}的急剧下降。在传统线下模式，寻找小众商品成本极高，消费者倾向于购买主流商品。但在数字平台，通过{{c2::关键词搜索}}、个性化推荐等技术，消费者能以极低成本精准定位到满足其{{c3::多样化、个性化}}需求的利基商品。
“议”：这实质上是{{c4::释放}}了被高昂搜寻成本所{{c5::压抑}}的真实需求。消费者的品味本就千差万别，数字平台只是提供了{{c6::发现和满足}}这些差异化需求的工具，让“人人都能找到自己的最爱”成为可能，从而汇集了庞大的长尾市场。	口诀：搜寻成本降，个性需求放，长尾市场旺。	第五章 复习题2 Cloze 需求侧
复习题2|分论Ⅱ(供给侧原因)：请夹叙夹议地阐述长尾效应产生的供给侧原因。	“叙”：从供给侧看，长尾效应源于企业{{c1::仓储和展示成本}}的降低。线下实体店货架空间有限且昂贵，只能摆放{{c2::周转率高}}的主流商品。而线上平台拥有近乎{{c3::无限的虚拟货架}}，且集中化的仓储（如亚马逊仓库）比分散在无数小店的库存管理{{c44::成本更低、效率更高}}。
