问题	答案	口诀
基础知识|数字平台的三大功能是什么？	数字平台兼具：<br>1. {{c1::技术性功能}}：作为数据采集与分发系统。<br>2. {{c2::经济性功能}}：作为促成高效交易的中介。<br>3. {{c3::制度性功能}}：作为建立规则与信任的治理者。	技经制，三足立
基础知识|什么是双边市场？	指平台作为{{c1::中介}}，连接两个或多个不同用户群体，并通过{{c2::交叉网络效应}}和{{c3::不平衡的价格结构}}来促成交易、创造价值的市场。	中介交叉价不平
基础知识|什么是交叉网络效应？	指平台一侧用户的数量或质量会影响另一侧用户的效用或价值。<br>例如，{{c1::越多的买家会吸引越多的卖家入驻}}，反之亦然，形成{{c2::正反馈}}。	人多好办事
基础知识|什么是“先有鸡还是先有蛋”问题？	指双边平台在启动初期面临的协调困境：{{c1::没有A边用户，就无法吸引B边用户}}；反之亦然。<br>如何吸引第一批用户以启动{{c2::网络效应}}是其核心挑战。	鸡不来，蛋不生
基础知识|数字平台创造价值的主要方式有哪些？	主要有四种：<br>1. 创造新市场机会，促进{{c1::市场深化}}；<br>2. 利用数据实现{{c2::高效供需匹配}}；<br>3. 通过治理构建信任，降低{{c3::交易成本}}；<br>4. 构建生态系统实现{{c4::价值共创和共享}}。	深化匹配降成本，共创共享生态兴
复习题1|总论：数字平台的经济属性是什么？	数字平台最核心的经济属性是{{c1::双边市场（或多边市场）属性}}。<br>这主要体现在三个基本特征：<br>1. 平台作为{{c2::中介}}连接不同用户群体；<br>2. 平台两侧用户具有{{c3::交叉网络效应}}；<br>3. 平台通过{{c4::不平衡的价格结构}}来实现外部性的内部化。	中介交叉价不平
复习题1|分论Ⅰ(中介与网络效应)：请夹叙夹议地阐述平台的中介属性与交叉网络效应。	“叙”：数字平台作为{{c1::中介}}，撮合不同用户群体交易，其核心是{{c2::交叉网络效应}}，即一侧用户的增加会提升另一侧用户的价值，形成“{{c3::更多人买导致更多人卖}}”的正反馈。<br>“议”：这种{{c4::正反馈机制}}是平台经济“{{c5::赢者通吃}}”的根源，一旦越过临界点，就会构筑极高的竞争壁垒，易于形成{{c6::自然垄断}}。	中介撮合正反馈，滚起雪球赢家通吃
复习题1|分论Ⅱ(价格结构)：请夹叙夹议地阐述平台的不平衡价格结构。	“叙”：为引爆网络效应，平台普遍采用{{c1::不平衡的价格结构}}，即价格结构的{{c2::非中性}}。平台常对贡献更大的一方实行{{c3::低价甚至免费}}，而对另一方收取{{c4::高于成本}}的价格，这被称为{{c5::交叉补贴}}。<br>“议”：这种策略的本质是{{c6::战略性亏损}}，先通过补贴“收买”关键用户，驱动生态增长。因此，评估平台不能只看一边的价格，必须综合评估其在{{c7::多边市场}}中的整体策略。	价格不平搞补贴，亏钱赚吆喝
复习题2|总论：数字平台的类型有哪些？	数字平台可以从不同维度进行分类。主要包括：<br>1. 按{{c1::平台作用}}分为市场创造型、需求协调型和受众创造型；<br>2. 按{{c2::运行目标}}分为交换平台和制造平台；<br>3. 按{{c3::交易关系}}分为交易型和非交易型；<br>4. 按{{c4::产业链位置}}分为消费类平台和生产类平台。	作用目标定关系，产业位置分消费
复习题2|分论Ⅰ(按作用分类)：请夹叙夹议地阐述按平台作用的分类。	“叙”：按平台作用可分为三类：一是{{c1::市场创造型}}（如淘宝），撮合买卖；二是{{c2::需求协调型}}（如支付宝），便利交易；三是{{c3::受众创造型}}（如抖音），创造用户群体以吸引广告商。<br>“议”：这种分类揭示了平台{{c4::核心价值主张}}的差异：市场创造型卖“{{c5::交易机会}}”，需求协调型卖“{{c6::效率工具}}”，而受众创造型卖“{{c7::用户注意力}}”。	创造市场协调需，制造受众卖注意
