基础知识|价格结构	指在多边平台中，平台对{{c1::不同侧用户}}的{{c2::收费水平}}或{{c3::收费比例}}。	口诀：不同边，不同价，结构比例看大家。
基础知识|零价格	指商品或服务以{{c1::免费}}的形式提供给消费者的一种定价现象，在数字市场尤为普遍。	口诀：不要钱，就是零，数字商品免费领。
基础知识|算法定价	指企业基于{{c1::大数据}}，采用{{c2::人工智能算法}}对待售商品进行{{c3::自动定价}}，以实现利润最大化。	口诀：大数据，AI算，自动定价把钱赚。
基础知识|算法合谋	指寡头企业通过{{c1::算法定价}}来实现及时、有效的{{c2::价格协调}}和{{c3::价格监督}}，从而导致市场出现垄断定价的结果。	口诀：算法串通一条心，价格协调没你份。
基础知识|算法个人化定价	指数字商务企业利用{{c1::大数据}}和{{c2::算法}}，分析消费者{{c3::支付意愿}}，从而针对每个消费者制定{{c4::不同价格}}。俗称“{{c5::大数据杀熟}}”。	口诀：一人一价算得精，大数据里看究竟。
复习题1|总论：双边平台设置不平衡价格结构的原因有哪些？	答：双边平台设置不平衡价格结构，核心是为了最大化利用{{c1::交叉网络效应}}。其定价主要取决于三个因素：1. {{c2::服务边际成本}}；2. {{c3::单侧用户对交叉网络效应的贡献}}；3. {{c4::平台的市场势力}}。	口诀：成本效应加势力，三足鼎立定高低。
复习题1|分论Ⅰ(核心驱动)：为何交叉网络效应是不平衡定价的核心？	“叙”：在双边市场，价格结构是影响{{c1::交易量}}的决定性因素。平台对单侧用户的定价，更多的是需要考虑该侧用户对{{c2::交叉网络效应的贡献}}，即其对另一侧用户的{{c3::吸引力}}的大小。<br>“议”：这意味着平台定价的逻辑从“{{c4::成本加成}}”转变为“{{c5::价值补贴}}”。平台愿意“补贴”能带来更强吸引力的一方（如免费），目的是{{c6::做大整个平台的网络价值}}，然后再从另一方获利。	口诀：谁能拉客我补谁，网络做大挣两回。
复习题1|分论Ⅱ(三因素模型)：请夹叙夹议地阐述影响不平衡定价的三大因素。	“叙”：垄断平台在利润最大化条件下对单侧用户的定价公式可简化为：pᵢ = {{c1::cᵢ}} - {{c2::αⱼnⱼ}} + {{c3::μᵢ}}。其中cᵢ是服务边际成本，αⱼnⱼ是交叉网络效应的贡献，μᵢ反映平台的市场势力。<br>“议”：这个公式清晰地揭示了平台定价的“{{c4::良心}}”与“{{c5::黑心}}”部分。cᵢ - αⱼnⱼ是基于{{c6::社会福利}}的理想定价，而μᵢ则是平台利用{{c7::垄断地位}}为自己加上的利润。反垄断的矛头，就指向这个μᵢ。	口诀：成本减效应，势力加利润，公式里藏着黑白心。
复习题1-分论Ⅲ(现实应用)：不平衡价格结构在现实中有哪些具体形式？	“叙”：常见形式有：1. {{c1::用户免费—广告商付费}}（如搜索引擎）；2. {{c2::消费者免费—商家付费}}（如电商平台）；3. {{c3::一侧用户免费—另一侧用户收费}}（如对女性免费的交友平台）。<br>“议”：这些形式的共性是，识别出哪一侧用户是平台的“{{c4::流量发动机}}”（即交叉网络效应贡献大的一方），并对其采取{{c5::优惠甚至免费}}的策略，以此撬动整个平台的{{c6::正反馈循环}}。	口诀：广告商家男人付费，用户顾客女人免费。
复习题2|总论：数字商务企业实行零价格的动机是什么？其实现盈利的方式有哪些？	答：实行零价格的动机主要有五点：1. {{c1::零边际成本}}；2. {{c2::质量价格歧视}}；3. {{c3::扩大用户基础}}（短期促销）；4. {{c4::双边平台交叉补贴}}；5. {{c5::利他主义}}。盈利方式主要有四种：1. {{c6::向另一侧收费}}（商家/广告商）；2. {{c7::增值服务收费}}；3. {{c8::依靠捐款}}。	口诀：五动机四盈利，免费午餐有道理。
复习题2|分论Ⅰ(动机)：请夹叙夹议地阐述零价格的五大动机。	“叙”：动机包括：1. {{c1::零边际成本}}奠定基础；2. {{c2::质量价格歧视}}（基础版免费，升级版收费）；3. {{c3::扩大用户基础}}的短期促销（如“烧钱大战”）；4. {{c4::双边平台不平衡的价格结构}}（交叉补贴）；5. {{c5::利他主义行为}}（如开源软件）。<br>“议”：这五种动机揭示了“免费”的不同战略意图。它可能是{{c6::成本驱动}}的自然结果，也可能是{{c7::精心设计的营销策略}}，或者是{{c8::平台生态的基石}}。理解动机是判断其背后商业模式的关键。	口诀：成本歧视搞促销，平台利他五动机。
