基础知识|数字经济统计的两种主要口径是什么？	“窄口径”和“宽口径”。窄口径主要统计{{c1::数字产业化}}（如ICT、电子商务），即数字产品/服务的直接生产者；宽口径则额外包含{{c2::产业数字化}}，即传统产业应用数字技术带来的价值增值。	口诀：窄产宽数，范围不同。	第九章 概念 Cloze
基础知识|OECD提出的数字经济层级结构包括哪几个层次？	从内到外依次是：{{c1::核心层}}（生产ICT产品）、{{c2::狭义层}}（依赖数字投入的活动）、{{c3::广义层}}（因数字投入而显著增强的活动）以及{{c4::数字社会}}（未计入GDP的数字化活动，如免费服务）。	口诀：核狭广社，圈层递进。	第九章 概念 Cloze
基础知识|数字经济统计面临的三大主要挑战是什么？	1. {{c1::数据作为关键生产要素难以核算}}（因其无形性、共享性等特征）；2. {{c2::数字经济生产与消费的边界难以界定}}（产消合一现象普遍）；3. {{c3::新业态新模式的统计标准存在盲点}}（如免费经济、共享经济的价值衡量）。	口诀：数据难算，产消难分，业态难标。	第九章 概念 Cloze
基础知识|现行数字经济统计体系常用的三种方法是什么？	1. {{c1::GDP核算法}}（在国民经济核算框架下，用生产法、支出法等计算增加值）；2. {{c2::指数编制法}}（构建多维度指标体系进行综合评价）；3. {{c3::卫星账户法}}（作为传统核算的补充，专门厘清数字经济活动的账户体系）。	口诀：核算GDP，编制指数，建立卫星。	第九章 概念 Cloze
复习题1|总论：数字经济的统计范围是什么？其层级结构包括哪些？	答：数字经济的统计范围主要分为“{{c1::窄口径}}”和“{{c2::宽口径}}”两大类。其层级结构可由OECD提出的框架概括，包括{{c3::核心层}}、{{c4::狭义层}}、{{c5::广义层}}和{{c6::数字社会}}四个层次。	口诀：范围宽窄，层级核狭广社。	第九章 论述 Cloze 复习题1 口诀 总论
复习题1|分论Ⅰ(统计范围)：请夹叙夹议地阐述数字经济的统计范围。	“叙”：统计范围主要有两类。{{c1::窄口径}}围绕“{{c2::数字产业化}}”展开，涵盖ICT、电子商务等直接的数字产业部门，以{{c3::美国BEA}}的统计为代表。“{{c4::宽口径}}”则在窄口径基础上，增加了“{{c5::产业数字化}}”部分，即传统产业应用数字技术带来的增值，以{{c6::中国国家统计局}}的实践为代表。“议”：这两种口径的选择，反映了不同国家{{c7::经济结构和发展阶段}}的差异。美国等发达国家数字产业本身很强大，故早期关注窄口径；而中国作为{{c8::制造业大国}}，更关注数字技术对庞大实体经济的改造和提升效能，因此采用宽口径更符合国情。	口诀：窄产美，宽数中，国情定口径。	第九章 论述 Cloze 复习题1 口诀 统计范围
复习题1|分论Ⅱ(层级结构)：请夹叙夹议地阐述数字经济的层级结构。	“叙”：OECD为调和争议，提出了一个统一可比的层级框架。最内部是{{c1::核心层}}，指生产ICT产品和服务的经济活动。向外是{{c2::狭义层}}，包括核心层及依赖数字投入产生的经济活动（如数字平台）。再向外是{{c3::广义层}}，囊括了因使用数字投入而显著增强的经济活动。最外层是{{c44::数字社会}}，包含了未被计入GDP的数字化交易和活动（如免费数字服务）。“议”：这个层级结构像一个“{{c5::洋葱模型}}”，从里到外，数字化的影响逐渐泛化。它的价值在于提供了一个{{c6::分析工具}}，让不同国家可以根据自身需求，选择在哪个层面上进行统计和比较，而不是陷入“非宽即窄”的二元对立。特别是“数字社会”的提出，承认了{{c7::GDP之外的巨大价值}}，为未来更全面的社会财富核算指明了方向。	口诀：核心狭广社，洋葱圈层析，超越GDP。	第九章 论述 Cloze 复习题1 口诀 层级结构
复习题2|总论：数字经济统计面临的挑战有哪些？	答：数字经济统计面临三大核心挑战：首先是{{c1::数据要素的核算难题}}；其次是{{c2::生产与消费边界的模糊化}}；最后是{{c3::新业态新模式的统计标准存在盲点}}。	口诀：数据难，边界糊，标准盲。	第九章 论述 Cloze 复习题2 口诀 总论
复习题2|分论Ⅰ(数据要素核算)：请夹叙夹议地阐述数据要素的核算挑战。	“叙”：数据作为生产要素，其核算困难源于其独特性质：{{c1::无形性}}、{{c2::共享性}}（非竞争性）、以及{{c3::生产消费统一性}}。这些特征导致其{{c4::产权模糊}}，资产范围难以界定。此外，海量的{{c5::非结构化数据}}也让传统统计手段失灵。最重要的是，传统国民经济核算{{c6::未将数据列为生产资本}}，其巨大价值被低估。“议”：这个挑战的实质是，我们试图用衡量{{c7::工业时代“原子”}}的尺子，去度量{{c8::数字时代“比特”}}的价值。数据的价值在于其{{c9::流动和使用}}，而非占有。因此，若不能在统计上确认数据作为资产的地位，就无法准确衡量数字经济的真实规模和增长动力，甚至可能误导宏观经济政策。	口诀：比特难量原子尺，无形共享产权迷。	第九章 论述 Cloze 复习题2 口诀 数据要素核算
复习题2|分论Ⅱ(产消边界模糊)：请夹叙夹议地阐述产消边界模糊的挑战。	“叙”：在数字经济中，生产者和消费者的身份界限模糊。例如，通过{{c1::滴滴、美团}}等平台，个人能轻易地从{{c2::消费者}}转变为{{c3::服务提供者}}。这种“{{c4::产消合一}}”现象，使得商品和服务的价格及交易量测算变得困难。同时，个人利用闲暇时间在{{c5::爱彼迎、闲鱼}}等平台获取收入，使得自给性服务进入市场，导致消费和{{c6::投资属性}}的边界也模糊化。“议”：这种边界模糊的背后，是{{c7::平台经济}}对传统雇佣模式和企业组织的解构。它意味着经济活动的最小单元从“{{c8::企业}}”下沉到了“{{c9::个人}}”。传统统计体系是围绕企业和住户两大部门构建的，当个人既是住户又是“微型企业”时，统计的基础就动摇了，大量经济活动可能游离于统计之外，造成GDP的低估。	口诀：平台解构企业，个人产消合一。	第九章 论述 Cloze 复习题2 口诀 产消边界模糊
